,index,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_name,league_name,club_position,club_jersey_number,club_contract_valid_until,nationality_name,preferred_foot,skill_moves,international_reputation,work_rate,body_type,real_face,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,st,cf,cam,cm,cdm,cb,gk,player_face_url,club_logo_url,club_flag_url,nation_flag_url,lb_rb,lm_rm,lw_rw,wing_back
245,316,200724,https://sofifa.com/player/200724/jose-ignacio-fernandez-iglesias/220002,Nacho Fernández,José Ignacio Fernández Iglesias,"CB, RB, LB",81,81,17500000.0,140000.0,31,1990-01-18,180,76,Real Madrid CF,Spain Primera Division,LCB,6.0,2023.0,Spain,Right,2,2,Low/High,Normal (170-185),Yes,78.0,37.0,66.0,69.0,81.0,80.0,70,32,79,78,38,64,55,37,61,76,71,84,65,78,74,54,83,81,79,28,79,82,37,53,45,75,80,83,81,12,7,10,15,7,,61,60,64,69,79,81,20,https://cdn.sofifa.net/players/200/724/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/es.png,81,68,62,80
246,317,200888,https://sofifa.com/player/200888/danilo-luis-helio-pereira/220002,Danilo Pereira,Danilo Luís Hélio Pereira,"CDM, CM",81,81,22000000.0,85000.0,29,1991-09-09,188,83,Paris Saint-Germain,French Ligue 1,SUB,15.0,2025.0,Portugal,Right,3,3,Medium/High,Normal (185+),Yes,64.0,63.0,71.0,73.0,80.0,86.0,58,57,83,81,55,75,54,53,78,77,60,67,54,75,60,74,77,85,89,67,80,80,71,72,57,78,81,81,68,9,7,13,14,15,,75,72,75,80,81,81,21,https://cdn.sofifa.net/players/200/888/22_120.png,https://cdn.sofifa.net/teams/73/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/pt.png,78,75,69,77
247,318,200949,https://sofifa.com/player/200949/lucas-rodrigues-m-silva/220002,Lucas Moura,Lucas Rodrigues Moura da Silva,"RM, CF",81,81,26000000.0,105000.0,28,1992-08-13,174,70,Tottenham Hotspur,English Premier League,RW,27.0,2024.0,Brazil,Right,4,3,High/Medium,Unique,Yes,90.0,79.0,70.0,86.0,43.0,68.0,70,79,65,72,70,88,71,71,66,82,93,88,93,79,92,85,95,75,57,75,78,50,78,70,74,81,31,43,44,9,10,14,7,14,,81,80,81,75,64,59,21,https://cdn.sofifa.net/players/200/949/22_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/br.png,65,81,81,68
248,320,202695,https://sofifa.com/player/202695/james-tarkowski/220002,J. Tarkowski,James Tarkowski,CB,81,82,24500000.0,46000.0,28,1992-11-19,188,81,Burnley,English Premier League,RCB,5.0,2022.0,England,Right,2,1,Low/High,Normal (185+),Yes,57.0,45.0,67.0,65.0,82.0,81.0,59,40,83,74,40,63,54,53,73,69,50,62,55,79,53,63,85,71,84,38,85,82,43,65,52,78,82,82,80,14,8,12,9,7,,62,60,64,70,79,82,19,https://cdn.sofifa.net/players/202/695/22_120.png,https://cdn.sofifa.net/teams/1796/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/gb-eng.png,76,65,59,75
249,321,203551,https://sofifa.com/player/203551/alessandro-florenzi/220002,A. Florenzi,Alessandro Florenzi,"RB, RWB",81,81,22000000.0,58000.0,30,1991-03-11,173,67,AC Milan,Italian Serie A,SUB,25.0,2022.0,Italy,Right,3,3,High/Medium,Unique,Yes,76.0,77.0,79.0,80.0,76.0,62.0,77,73,70,83,85,75,73,72,77,85,79,74,86,77,82,82,73,82,50,81,66,77,69,81,74,81,76,76,75,9,8,10,11,10,,78,78,81,81,80,76,20,https://cdn.sofifa.net/players/203/551/22_120.png,https://cdn.sofifa.net/teams/47/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/it.png,81,81,78,81
250,323,204311,https://sofifa.com/player/204311/kurt-zouma/220002,K. Zouma,Kurt Happy Zouma,CB,81,84,30000000.0,75000.0,26,1994-10-27,190,95,West Ham United,English Premier League,SUB,4.0,2025.0,France,Right,2,2,Medium/Medium,Normal (185+),Yes,65.0,51.0,63.0,57.0,81.0,85.0,49,47,84,72,47,50,60,59,68,64,54,74,52,78,52,63,91,67,93,49,84,80,49,60,59,69,81,82,78,14,14,7,9,15,,64,60,62,68,77,83,22,https://cdn.sofifa.net/players/204/311/22_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/fr.png,75,62,58,72
251,324,204525,https://sofifa.com/player/204525/inigo-martinez-berridi/220002,Iñigo Martínez,Íñigo Martínez Berridi,CB,81,81,21000000.0,33000.0,30,1991-05-17,182,77,Athletic Club de Bilbao,Spain Primera Division,LCB,4.0,2023.0,Spain,Left,2,2,Medium/Medium,Normal (170-185),Yes,71.0,56.0,66.0,64.0,81.0,79.0,51,42,76,75,37,53,72,51,83,75,69,72,68,80,61,81,91,71,79,74,84,83,48,55,39,69,82,80,84,12,16,11,13,11,,66,63,67,72,81,81,22,https://cdn.sofifa.net/players/204/525/22_120.png,https://cdn.sofifa.net/teams/448/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/es.png,78,66,62,76
252,325,204638,https://sofifa.com/player/204638/willi-orban/220002,W. Orban,Vilmos Tamás Orban,CB,81,82,24500000.0,79000.0,28,1992-11-03,186,87,RB Leipzig,German 1. Bundesliga,RCB,4.0,2025.0,Hungary,Right,2,2,Medium/Medium,Normal (185+),Yes,49.0,36.0,52.0,55.0,84.0,80.0,39,38,85,69,31,52,28,32,58,57,50,49,48,75,56,37,91,68,85,29,80,81,42,44,41,72,84,86,80,15,12,15,10,6,,55,52,55,61,75,82,20,https://cdn.sofifa.net/players/204/638/22_120.png,https://cdn.sofifa.net/teams/112172/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/hu.png,72,55,51,69
253,326,205175,https://sofifa.com/player/205175/arkadiusz-milik/220002,A. Milik,Arkadiusz Krystian Milik,ST,81,82,30000000.0,81000.0,27,1994-02-28,186,78,Olympique de Marseille,French Ligue 1,ST,9.0,2022.0,Poland,Left,4,3,Medium/Medium,Normal (185+),Yes,64.0,84.0,67.0,76.0,39.0,71.0,63,85,79,70,78,77,76,84,62,81,60,68,66,76,63,86,65,63,78,82,67,36,84,64,79,78,35,34,32,9,16,16,15,6,,82,77,77,71,59,56,22,https://cdn.sofifa.net/players/205/175/22_120.png,https://cdn.sofifa.net/teams/219/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/pl.png,57,75,74,59
254,327,205569,https://sofifa.com/player/205569/james-ward-prowse/220002,J. Ward-Prowse,James Ward-Prowse,CM,81,84,33500000.0,69000.0,26,1994-11-01,173,66,Southampton,English Premier League,RCM,8.0,2026.0,England,Right,3,2,Medium/High,Normal (170-185),Yes,59.0,74.0,86.0,78.0,67.0,73.0,89,71,57,85,51,76,92,92,84,82,66,54,75,75,76,82,65,91,64,79,73,67,65,82,79,77,64,74,65,12,12,10,15,15,,73,75,79,82,78,70,22,https://cdn.sofifa.net/players/205/569/22_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/gb-eng.png,75,79,76,77
255,330,206511,https://sofifa.com/player/206511/maximilian-arnold/220002,M. Arnold,Maximilian Arnold,"CDM, CM",81,82,26500000.0,66000.0,27,1994-05-27,184,74,VfL Wolfsburg,German 1. Bundesliga,LDM,27.0,2026.0,Germany,Left,3,2,High/Medium,Normal (170-185),Yes,65.0,81.0,79.0,78.0,76.0,74.0,69,77,58,82,84,78,83,81,83,82,65,65,68,83,67,88,61,78,73,87,77,79,76,78,57,79,78,79,74,11,9,11,10,10,,79,78,81,82,82,77,20,https://cdn.sofifa.net/players/206/511/22_120.png,https://cdn.sofifa.net/teams/175/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/de.png,77,79,77,79
256,331,207439,https://sofifa.com/player/207439/leandro-paredes/220002,L. Paredes,Leandro Daniel Paredes,"CDM, CM",81,83,28000000.0,81000.0,27,1994-06-29,180,75,Paris Saint-Germain,French Ligue 1,SUB,8.0,2023.0,Argentina,Right,4,2,Medium/Medium,Normal (170-185),Yes,66.0,71.0,83.0,79.0,76.0,79.0,79,61,60,84,71,79,80,78,85,81,67,66,71,78,75,88,66,79,77,77,89,75,76,84,64,84,79,78,80,9,14,6,9,10,,75,76,80,83,82,79,20,https://cdn.sofifa.net/players/207/439/22_120.png,https://cdn.sofifa.net/teams/73/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/ar.png,79,79,76,80
257,332,208330,https://sofifa.com/player/208330/adnan-januzaj/220002,A. Januzaj,Adnan Januzaj,"RW, RM",81,81,28000000.0,45000.0,26,1995-02-05,186,76,Real Sociedad,Spain Primera Division,RW,11.0,2022.0,Belgium,Left,4,1,Medium/Low,Lean (185+),Yes,79.0,75.0,80.0,83.0,30.0,58.0,81,77,42,81,70,86,80,73,76,81,83,75,84,79,75,74,61,70,58,76,41,36,78,81,60,78,30,23,22,15,10,11,12,7,,76,79,81,76,58,44,20,https://cdn.sofifa.net/players/208/330/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/be.png,56,81,81,62
258,333,208448,https://sofifa.com/player/208448/emil-forsberg/220002,E. Forsberg,Emil Peter Forsberg,"CAM, CF",81,81,25500000.0,87000.0,29,1991-10-23,177,76,RB Leipzig,German 1. Bundesliga,CAM,10.0,2025.0,Sweden,Right,4,3,Medium/Medium,Normal (170-185),Yes,70.0,73.0,82.0,83.0,35.0,62.0,82,74,44,86,65,83,79,75,76,86,72,68,78,83,82,71,53,69,59,72,61,44,77,84,71,79,38,27,20,13,7,9,15,11,,76,79,81,80,64,50,22,https://cdn.sofifa.net/players/208/448/22_120.png,https://cdn.sofifa.net/teams/112172/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/se.png,59,81,80,64
259,334,208596,https://sofifa.com/player/208596/andrea-belotti/220002,A. Belotti,Andrea Belotti,ST,81,82,30000000.0,61000.0,27,1993-12-20,181,84,Torino F.C.,Italian Serie A,ST,9.0,2022.0,Italy,Right,3,3,High/High,Normal (170-185),Yes,76.0,81.0,59.0,78.0,38.0,83.0,42,88,84,71,82,78,64,56,48,77,74,78,75,81,77,81,83,78,85,67,83,31,86,61,77,81,44,23,32,13,7,12,14,7,,82,78,77,69,58,58,21,https://cdn.sofifa.net/players/208/596/22_120.png,https://cdn.sofifa.net/teams/54/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/it.png,57,75,74,59
260,335,208618,https://sofifa.com/player/208618/lucas-vazquez-iglesias/220002,Lucas Vázquez,Lucas Vázquez Iglesias,"RW, RB, RM",81,81,25000000.0,170000.0,30,1991-07-01,173,70,Real Madrid CF,Spain Primera Division,SUB,17.0,2024.0,Spain,Right,4,2,High/Medium,Normal (170-185),Yes,82.0,73.0,79.0,80.0,69.0,69.0,83,72,58,79,58,81,83,71,76,79,83,82,81,81,81,80,69,91,57,76,72,72,80,79,56,75,71,69,66,9,16,9,9,7,,77,79,81,81,77,71,20,https://cdn.sofifa.net/players/208/618/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/es.png,78,81,80,80
261,336,209297,https://sofifa.com/player/209297/frederico-de-paula-santos/220002,Fred,Frederico Rodrigues de Paula Santos,"CDM, CM",81,81,22500000.0,120000.0,28,1993-03-05,169,62,Manchester United,English Premier League,LDM,17.0,2023.0,Brazil,Left,4,3,High/High,Lean (170-),Yes,77.0,66.0,77.0,81.0,75.0,71.0,70,60,52,82,65,79,76,74,80,80,81,74,88,86,87,77,80,93,52,68,87,83,70,73,64,79,74,80,70,7,16,15,11,15,,73,75,80,81,81,77,24,https://cdn.sofifa.net/players/209/297/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/br.png,81,80,76,81
262,337,210008,https://sofifa.com/player/210008/adrien-rabiot/220002,A. Rabiot,Adrien Rabiot,"CM, CDM",81,82,30000000.0,87000.0,26,1995-04-03,192,80,Juventus,Italian Serie A,LDM,25.0,2023.0,France,Left,3,2,Medium/Medium,Lean (185+),Yes,76.0,74.0,76.0,80.0,76.0,79.0,70,69,69,84,69,80,55,59,80,84,70,81,69,82,69,86,73,86,80,76,69,80,76,75,67,80,70,81,75,9,12,9,7,15,,79,78,81,82,82,79,21,https://cdn.sofifa.net/players/210/008/22_120.png,https://cdn.sofifa.net/teams/45/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/fr.png,80,80,77,81
263,339,210406,https://sofifa.com/player/210406/piotr-zielinski/220002,P. Zieliński,Piotr Sebastian Zieliński,"CM, CAM",81,82,29500000.0,74000.0,27,1994-05-20,180,75,Napoli,Italian Serie A,CAM,20.0,2024.0,Poland,Right,4,3,Medium/Medium,Lean (170-185),No,81.0,75.0,81.0,85.0,70.0,61.0,77,72,52,84,75,87,80,65,81,85,83,79,85,79,79,79,52,75,57,83,56,75,78,84,51,75,69,72,71,12,9,12,11,6,,78,81,82,82,79,71,20,https://cdn.sofifa.net/players/210/406/22_120.png,https://cdn.sofifa.net/teams/48/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/pl.png,78,82,82,80
264,341,210463,https://sofifa.com/player/210463/darwin-machis/220002,D. Machís,Darwin Daniel Machís Marcano,"LM, RM, ST",81,81,26000000.0,34000.0,28,1993-02-07,174,74,Granada CF,Spain Primera Division,RM,11.0,2022.0,Venezuela,Right,4,1,High/Medium,Stocky (170-185),No,88.0,80.0,75.0,83.0,38.0,70.0,79,82,51,76,57,83,65,78,71,81,90,86,92,75,93,84,81,71,68,81,72,38,79,75,72,79,40,35,24,8,8,10,13,10,,79,80,81,75,61,53,19,https://cdn.sofifa.net/players/210/463/22_120.png,https://cdn.sofifa.net/teams/110832/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/ve.png,59,81,81,64
265,342,211300,https://sofifa.com/player/211300/anthony-martial/220002,A. Martial,Anthony Martial,"ST, LM",81,84,34500000.0,130000.0,25,1995-12-05,184,76,Manchester United,English Premier League,SUB,9.0,2024.0,France,Right,4,3,Low/Low,Unique,Yes,87.0,80.0,73.0,85.0,35.0,68.0,73,80,71,78,76,88,84,54,60,86,87,87,82,79,79,83,73,68,74,76,54,34,79,77,80,78,26,33,31,9,8,8,15,11,,83,82,84,75,59,53,21,https://cdn.sofifa.net/players/211/300/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/fr.png,60,83,82,64
266,344,212194,https://sofifa.com/player/212194/julian-brandt/220002,J. Brandt,Julian Brandt,"CAM, CM, CF",81,85,36000000.0,64000.0,25,1996-05-02,185,83,Borussia Dortmund,German 1. Bundesliga,SUB,19.0,2024.0,Germany,Right,4,3,High/Medium,Normal (185+),Yes,73.0,75.0,80.0,84.0,48.0,66.0,79,73,54,82,79,84,77,65,79,85,77,69,84,79,83,81,62,80,71,78,38,47,77,82,54,81,46,47,49,11,16,11,8,9,,78,79,84,81,68,58,21,https://cdn.sofifa.net/players/212/194/22_120.png,https://cdn.sofifa.net/teams/22/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/de.png,67,83,80,70
267,346,215330,https://sofifa.com/player/215330/joaquin-correa/220002,J. Correa,Carlos Joaquín Correa,"CF, ST, CAM",81,82,31000000.0,76000.0,26,1994-08-13,189,75,Inter,Italian Serie A,SUB,19.0,2022.0,Argentina,Right,4,1,Medium/Medium,Normal (185+),Yes,84.0,75.0,77.0,85.0,39.0,69.0,74,77,68,81,75,88,81,63,74,86,81,87,83,80,67,79,63,76,74,71,48,36,79,78,57,73,39,37,26,11,10,7,8,8,,81,81,82,77,62,54,19,https://cdn.sofifa.net/players/215/330/22_120.png,https://cdn.sofifa.net/teams/44/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/ar.png,61,82,81,65
268,347,216201,https://sofifa.com/player/216201/inaki-williams-arthuer/220002,Iñaki Williams,Iñaki Williams Arthuer,"ST, RW",81,82,30000000.0,39000.0,27,1994-06-15,186,80,Athletic Club de Bilbao,Spain Primera Division,LS,9.0,2028.0,Spain,Right,4,2,High/Medium,Normal (185+),Yes,94.0,78.0,72.0,78.0,37.0,81.0,76,77,73,74,74,81,76,53,66,76,93,94,78,82,62,85,88,83,82,77,75,21,85,73,64,81,42,34,29,14,15,14,10,13,,82,80,80,73,59,55,23,https://cdn.sofifa.net/players/216/201/22_120.png,https://cdn.sofifa.net/teams/448/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/es.png,60,82,80,63
269,348,216409,https://sofifa.com/player/216409/matteo-politano/220002,M. Politano,Matteo Politano,"RM, RW",81,81,27500000.0,74000.0,27,1993-08-03,171,67,Napoli,Italian Serie A,RW,21.0,2024.0,Italy,Left,4,2,High/Medium,Normal (170-185),No,83.0,77.0,78.0,84.0,42.0,55.0,80,76,40,79,75,83,79,77,76,84,84,82,89,81,87,78,51,77,41,82,63,38,76,77,70,79,63,29,29,11,12,6,8,11,,75,79,81,77,63,51,20,https://cdn.sofifa.net/players/216/409/22_120.png,https://cdn.sofifa.net/teams/48/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/it.png,62,81,81,66
270,349,216475,https://sofifa.com/player/216475/jose-luis-morales-nogales/220002,Morales,José Luis Morales Nogales,"ST, LM",81,81,16500000.0,41000.0,33,1987-07-23,180,70,Levante Unión Deportiva,Spain Primera Division,LS,11.0,2023.0,Spain,Right,4,2,High/Medium,Lean (170-185),Yes,86.0,82.0,75.0,85.0,52.0,68.0,77,84,64,77,84,87,82,68,68,84,87,86,80,80,83,82,63,78,67,78,58,58,84,76,76,84,44,54,45,14,13,13,16,8,,81,81,81,78,68,61,22,https://cdn.sofifa.net/players/216/475/22_120.png,https://cdn.sofifa.net/teams/1853/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/es.png,68,81,81,71
271,350,217940,https://sofifa.com/player/217940/dakonam-djene/220002,D. Djené,Djené Dakonam Ortega,CB,81,82,24000000.0,36000.0,29,1991-12-31,178,72,Getafe CF,Spain Primera Division,RCB,2.0,2023.0,Togo,Right,2,1,Medium/High,Normal (170-185),No,69.0,37.0,62.0,62.0,83.0,79.0,60,29,77,75,22,50,51,48,69,71,69,69,70,82,67,67,79,73,78,27,88,85,49,42,41,73,84,83,82,7,15,7,10,10,,60,58,60,67,79,82,20,https://cdn.sofifa.net/players/217/940/22_120.png,https://cdn.sofifa.net/teams/1860/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/tg.png,79,63,58,77
272,351,220093,https://sofifa.com/player/220093/hans-hateboer/220002,H. Hateboer,Hans Hateboer,"RWB, RB, RM",81,81,25000000.0,55000.0,27,1994-01-09,185,72,Atalanta,Italian Serie A,RES,33.0,2023.0,Netherlands,Right,3,3,High/Medium,Normal (185+),No,84.0,64.0,72.0,77.0,77.0,79.0,82,64,76,78,58,79,50,30,70,78,80,87,68,79,74,72,74,86,75,58,79,74,84,69,47,77,77,78,77,11,6,8,14,15,,78,76,78,79,80,80,22,https://cdn.sofifa.net/players/220/093/22_120.png,https://cdn.sofifa.net/teams/39/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/nl.png,81,81,77,81
273,353,221363,https://sofifa.com/player/221363/donny-van-de-beek/220002,D. van de Beek,Donny van de Beek,"CM, CAM, CDM",81,86,38500000.0,110000.0,24,1997-04-18,184,74,Manchester United,English Premier League,SUB,34.0,2025.0,Netherlands,Right,3,3,High/Medium,Unique,Yes,68.0,78.0,76.0,79.0,72.0,77.0,67,78,69,81,80,76,78,65,78,85,67,69,75,81,69,83,71,84,74,78,76,73,80,79,61,84,72,73,68,7,12,8,10,14,,81,79,82,83,80,76,21,https://cdn.sofifa.net/players/221/363/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/nl.png,77,80,77,78
274,354,221479,https://sofifa.com/player/221479/dominic-calvert-lewin/220002,D. Calvert-Lewin,Dominic Calvert-Lewin,ST,81,85,37500000.0,90000.0,24,1997-03-16,187,71,Everton,English Premier League,ST,9.0,2025.0,England,Right,3,2,High/Medium,Unique,Yes,83.0,77.0,64.0,77.0,39.0,82.0,65,82,89,72,73,76,64,54,47,80,76,89,72,81,65,79,91,80,83,65,78,35,84,64,77,76,38,31,23,12,12,8,7,11,,83,78,76,69,58,57,20,https://cdn.sofifa.net/players/221/479/22_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/gb-eng.png,59,77,76,61
275,355,221992,https://sofifa.com/player/221992/hirving-lozano/220002,H. Lozano,Hirving Rodrigo Lozano Bahena,"RW, LW",81,82,31000000.0,77000.0,25,1995-07-30,175,70,Napoli,Italian Serie A,SUB,11.0,2024.0,Mexico,Right,4,3,High/Low,Lean (170-185),Yes,93.0,76.0,72.0,82.0,41.0,62.0,73,77,62,74,74,83,72,65,65,80,92,93,89,81,82,76,67,76,54,75,64,45,82,74,73,75,42,35,29,11,10,14,14,10,,80,80,82,75,62,54,22,https://cdn.sofifa.net/players/221/992/22_120.png,https://cdn.sofifa.net/teams/48/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/mx.png,63,82,81,67
276,357,224081,https://sofifa.com/player/224081/kalvin-phillips/220002,K. Phillips,Kalvin Phillips,"CDM, CM, CB",81,85,32500000.0,82000.0,25,1995-12-02,178,72,Leeds United,English Premier League,CDM,23.0,2024.0,England,Right,3,2,Medium/High,Stocky (170-185),Yes,67.0,65.0,76.0,75.0,78.0,82.0,70,62,65,80,55,73,62,71,82,79,69,66,72,76,72,75,82,85,78,67,86,77,66,74,58,78,79,82,77,8,8,8,12,14,,72,72,76,79,82,80,20,https://cdn.sofifa.net/players/224/081/22_120.png,https://cdn.sofifa.net/teams/8/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/gb-eng.png,78,76,72,79
277,358,224411,https://sofifa.com/player/224411/goncalo-manuel-ganchinho-guedes/220002,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,"LM, ST, CF",81,86,39000000.0,39000.0,24,1996-11-29,179,68,Valencia CF,Spain Primera Division,LS,7.0,2024.0,Portugal,Right,4,2,High/Low,Normal (170-185),Yes,86.0,79.0,76.0,82.0,36.0,68.0,81,76,58,76,71,83,76,70,69,81,85,87,84,79,75,84,63,74,68,84,64,50,77,76,69,78,24,34,30,9,12,11,9,9,,79,79,81,75,61,52,19,https://cdn.sofifa.net/players/224/411/22_120.png,https://cdn.sofifa.net/teams/461/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/pt.png,61,81,80,65
278,359,225375,https://sofifa.com/player/225375/konrad-laimer/220002,K. Laimer,Konrad Laimer,"CDM, CM, RB",81,85,33500000.0,65000.0,24,1997-05-27,180,72,RB Leipzig,German 1. Bundesliga,RDM,27.0,2023.0,Austria,Right,3,2,Medium/High,Lean (170-185),Yes,81.0,68.0,77.0,78.0,80.0,77.0,78,69,69,82,60,78,70,47,78,78,82,81,76,79,74,72,73,88,69,68,85,84,71,76,54,79,83,79,75,9,12,12,13,12,,75,76,79,80,82,80,21,https://cdn.sofifa.net/players/225/375/22_120.png,https://cdn.sofifa.net/teams/112172/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/at.png,82,80,77,83
279,360,226110,https://sofifa.com/player/226110/nicolas-pepe/220002,N. Pépé,Nicolas Pépé,"RM, RW",81,82,30500000.0,95000.0,26,1995-05-29,183,73,Arsenal,English Premier League,RM,19.0,2024.0,Côte d'Ivoire,Left,4,2,High/Medium,Unique,Yes,88.0,79.0,75.0,83.0,36.0,65.0,77,79,57,76,70,85,81,79,66,81,88,88,88,77,79,81,66,77,68,78,43,33,77,76,85,77,36,34,30,11,14,11,6,8,,79,80,81,74,59,50,19,https://cdn.sofifa.net/players/226/110/22_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/ci.png,60,82,81,64
280,361,226166,https://sofifa.com/player/226166/nordi-mukiele/220002,N. Mukiele,Nordi Mukiele Mulere,"RWB, CB, RM",81,85,34500000.0,65000.0,23,1997-11-01,187,84,RB Leipzig,German 1. Bundesliga,RB,22.0,2023.0,France,Right,3,2,Medium/High,Normal (185+),Yes,80.0,49.0,69.0,73.0,82.0,80.0,74,40,74,73,39,73,69,33,70,74,77,82,67,77,65,67,90,79,79,52,83,83,60,64,45,73,82,85,82,10,7,14,11,15,,67,67,70,73,80,83,20,https://cdn.sofifa.net/players/226/166/22_120.png,https://cdn.sofifa.net/teams/112172/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/fr.png,81,73,68,81
281,362,226226,https://sofifa.com/player/226226/giovani-lo-celso/220002,G. Lo Celso,Giovani Lo Celso,"CM, CAM",81,85,35500000.0,95000.0,25,1996-04-09,177,68,Tottenham Hotspur,English Premier League,SUB,18.0,2025.0,Argentina,Left,4,1,High/High,Normal (170-185),Yes,75.0,76.0,82.0,83.0,69.0,73.0,79,75,60,84,69,83,82,79,83,85,76,75,83,82,80,82,57,76,70,75,82,70,76,83,65,80,64,75,68,10,7,10,15,14,,79,80,83,83,79,73,21,https://cdn.sofifa.net/players/226/226/22_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/ar.png,76,83,80,78
282,364,227950,https://sofifa.com/player/227950/yeray-alvarez-lopez/220002,Yeray,Yeray Álvarez López,CB,81,83,28000000.0,33000.0,26,1995-01-24,182,79,Athletic Club de Bilbao,Spain Primera Division,RCB,5.0,2026.0,Spain,Right,2,2,Medium/Medium,Normal (170-185),Yes,68.0,49.0,62.0,64.0,82.0,77.0,48,41,74,78,55,56,56,50,70,72,64,71,54,80,74,69,90,69,77,43,83,86,39,48,61,78,83,82,81,12,9,8,12,11,,63,60,63,68,79,83,20,https://cdn.sofifa.net/players/227/950/22_120.png,https://cdn.sofifa.net/teams/448/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/es.png,77,63,59,75
