,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_contract_valid_until,nationality_name,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_flag_url
111,200458,https://sofifa.com/player/200458/lucas-digne/220002,L. Digne,Lucas Digne,LB,84,84,40500000.0,110000.0,27,1993-07-20,178,74,7.0,Everton,English Premier League,1.0,LB,12.0,2023.0,France,Left,2,3,2,High/Medium,Unique,Yes,79.0,69.0,80.0,80.0,80.0,76.0,88,60,71,81,68,78,83,83,73,84,81,77,74,83,78,83,94,86,69,76,76,82,73,75,60,81,78,83,84,6,12,9,6,13,,74+2,74+2,74+2,78,77,77,77,78,77+2,77+2,77+2,79+2,79+2,79+2,79+2,79+2,83+1,80+2,80+2,80+2,83+1,82+2,79+2,79+2,79+2,82+2,17+2,https://cdn.sofifa.net/players/200/458/22_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/fr.png
112,200647,https://sofifa.com/player/200647/josip-ilicic/220002,J. Iličić,Josip Iličić,"CF, ST",84,84,27000000.0,84000.0,33,1988-01-29,190,79,39.0,Atalanta,Italian Serie A,1.0,SUB,72.0,2022.0,Slovenia,Left,4,5,3,Medium/Medium,Lean (185+),Yes,75.0,86.0,84.0,86.0,40.0,67.0,82,85,58,86,83,88,85,83,77,88,76,74,83,80,73,88,34,65,74,89,58,46,85,87,78,80,41,32,26,13,13,8,12,6,,81+3,81+3,81+3,84,84,84,84,84,85-1,85-1,85-1,83+1,79+3,79+3,79+3,83+1,63+3,63+3,63+3,63+3,63+3,58+3,51+3,51+3,51+3,58+3,18+3,https://cdn.sofifa.net/players/200/647/22_120.png,https://cdn.sofifa.net/teams/39/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/si.png
114,203263,https://sofifa.com/player/203263/harry-maguire/220002,H. Maguire,Harry Maguire,CB,84,86,42500000.0,155000.0,28,1993-03-05,194,100,11.0,Manchester United,English Premier League,1.0,LCB,5.0,2024.0,England,Right,3,2,3,High/High,Stocky (185+),Yes,50.0,55.0,69.0,70.0,85.0,87.0,51,48,87,78,47,71,48,46,84,76,47,53,50,84,41,75,85,82,90,52,84,86,61,70,44,85,87,83,78,14,16,9,14,9,,67+3,67+3,67+3,64,67,67,67,64,69+3,69+3,69+3,68+3,76+3,76+3,76+3,68+3,74+3,82+3,82+3,82+3,74+3,76+3,84+2,84+2,84+2,76+3,21+3,https://cdn.sofifa.net/players/203/263/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/gb-eng.png
115,204639,https://sofifa.com/player/204639/stefan-savic/220002,S. Savić,Stefan Savić,CB,84,84,34500000.0,74000.0,30,1991-01-08,187,80,240.0,Atlético de Madrid,Spain Primera Division,1.0,RCB,15.0,2024.0,Montenegro,Right,3,2,2,Medium/High,Normal (185+),Yes,64.0,35.0,57.0,58.0,87.0,76.0,35,34,84,73,27,47,34,28,72,67,60,67,59,83,45,43,86,53,83,31,86,87,29,55,37,80,90,86,83,14,13,14,13,12,,54+2,54+2,54+2,53,54,54,54,53,57+2,57+2,57+2,56+2,64+2,64+2,64+2,56+2,70+2,78+2,78+2,78+2,70+2,74+2,84,84,84,74+2,21+2,https://cdn.sofifa.net/players/204/639/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/me.png
116,204923,https://sofifa.com/player/204923/marcel-sabitzer/220002,M. Sabitzer,Marcel Sabitzer,"CM, CDM, CAM",84,85,48000000.0,110000.0,27,1994-03-17,178,76,21.0,FC Bayern München,German 1. Bundesliga,1.0,SUB,18.0,2025.0,Austria,Right,4,3,3,High/High,Normal (170-185),Yes,78.0,84.0,81.0,80.0,67.0,78.0,74,81,60,84,82,79,76,78,81,82,75,81,75,86,80,88,71,85,76,88,77,66,83,83,72,80,71,70,59,11,13,14,15,13,,80+3,80+3,80+3,81,82,82,82,81,82+3,82+3,82+3,81+3,82+3,82+3,82+3,81+3,75+3,76+3,76+3,76+3,75+3,73+3,71+3,71+3,71+3,73+3,21+3,https://cdn.sofifa.net/players/204/923/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/at.png
117,205988,https://sofifa.com/player/205988/luke-shaw/220002,L. Shaw,Luke Shaw,LB,84,86,48500000.0,140000.0,25,1995-07-12,181,75,11.0,Manchester United,English Premier League,1.0,LB,23.0,2023.0,England,Left,2,3,2,High/Medium,Stocky (170-185),Yes,79.0,54.0,79.0,80.0,81.0,80.0,85,44,78,82,56,80,83,54,69,82,76,81,75,82,77,70,83,80,79,54,84,79,78,81,44,83,83,83,79,10,12,13,7,7,,71+2,71+2,71+2,76,75,75,75,76,76+2,76+2,76+2,78+2,78+2,78+2,78+2,78+2,81+2,80+2,80+2,80+2,81+2,81+2,81+2,81+2,81+2,81+2,17+2,https://cdn.sofifa.net/players/205/988/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/gb-eng.png
118,206517,https://sofifa.com/player/206517/jack-grealish/220002,J. Grealish,Jack Grealish,"LW, LM, CAM",84,85,50500000.0,180000.0,25,1995-09-10,180,81,10.0,Manchester City,English Premier League,1.0,LW,10.0,2027.0,England,Right,3,4,3,High/Medium,Unique,Yes,80.0,76.0,83.0,88.0,46.0,64.0,81,77,36,85,72,89,78,74,82,88,81,79,85,79,84,76,36,80,61,80,60,44,81,85,58,88,48,49,43,11,6,11,10,13,,75+3,75+3,75+3,83,82,82,82,83,84+1,84+1,84+1,83+2,80+3,80+3,80+3,83+2,68+3,67+3,67+3,67+3,68+3,64+3,53+3,53+3,53+3,64+3,18+3,https://cdn.sofifa.net/players/206/517/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/gb-eng.png
119,207862,https://sofifa.com/player/207862/matthias-ginter/220002,M. Ginter,Matthias Ginter,CB,84,85,42500000.0,45000.0,27,1994-01-19,191,86,23.0,Borussia Mönchengladbach,German 1. Bundesliga,1.0,RCB,28.0,2022.0,Germany,Right,3,2,3,Medium/Medium,Normal (185+),Yes,62.0,58.0,72.0,66.0,86.0,79.0,68,55,84,79,53,61,44,42,78,75,54,69,55,86,49,74,77,75,84,46,74,84,55,72,67,71,87,89,79,12,10,6,8,10,,68+3,68+3,68+3,66,67,67,67,66,68+3,68+3,68+3,69+3,74+3,74+3,74+3,69+3,77+3,81+3,81+3,81+3,77+3,79+3,83+2,83+2,83+2,79+3,18+3,https://cdn.sofifa.net/players/207/862/22_120.png,https://cdn.sofifa.net/teams/23/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/de.png
120,207863,https://sofifa.com/player/207863/felipe-augusto-de-almeida-monteiro/220002,Felipe,Felipe Augusto de Almeida Monteiro,CB,84,84,27500000.0,74000.0,32,1989-05-16,190,84,240.0,Atlético de Madrid,Spain Primera Division,1.0,SUB,18.0,2022.0,Brazil,Right,3,2,3,Low/High,Normal (185+),Yes,61.0,41.0,58.0,62.0,85.0,84.0,45,39,83,73,44,57,32,30,69,64,55,66,66,81,52,46,89,68,90,41,89,85,34,50,47,75,86,85,82,9,11,14,9,7,,57+3,57+3,57+3,56,56,56,56,56,58+3,58+3,58+3,58+3,64+3,64+3,64+3,58+3,72+3,77+3,77+3,77+3,72+3,74+3,84,84,84,74+3,17+3,https://cdn.sofifa.net/players/207/863/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/br.png
121,208418,https://sofifa.com/player/208418/yannick-carrasco/220002,Y. Carrasco,Yannick Ferreira Carrasco,"LM, ST",84,84,45000000.0,81000.0,27,1993-09-04,185,73,240.0,Atlético de Madrid,Spain Primera Division,1.0,LM,21.0,2024.0,Belgium,Right,4,4,3,High/High,Lean (185+),Yes,88.0,81.0,78.0,85.0,45.0,67.0,81,81,53,79,70,88,81,79,73,85,89,88,87,80,73,85,71,80,61,82,65,43,80,77,81,79,44,47,35,9,11,9,10,10,,79+3,79+3,79+3,83,82,82,82,83,82+2,82+2,82+2,82+2,76+3,76+3,76+3,82+2,67+3,63+3,63+3,63+3,67+3,63+3,54+3,54+3,54+3,63+3,18+3,https://cdn.sofifa.net/players/208/418/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/be.png
122,208574,https://sofifa.com/player/208574/filip-kostic/220002,F. Kostić,Filip Kostić,"LM, LWB",84,84,42500000.0,52000.0,28,1992-11-01,184,82,1824.0,Eintracht Frankfurt,German 1. Bundesliga,1.0,LM,10.0,2023.0,Serbia,Left,2,3,3,High/High,Normal (170-185),Yes,88.0,77.0,82.0,83.0,68.0,80.0,91,75,59,80,70,85,79,80,75,82,89,88,76,82,79,85,67,90,77,78,80,63,79,81,64,80,69,72,68,13,14,12,12,13,,78+3,78+3,78+3,83,81,81,81,83,81+3,81+3,81+3,83+1,79+3,79+3,79+3,83+1,79+3,75+3,75+3,75+3,79+3,77+3,71+3,71+3,71+3,77+3,21+3,https://cdn.sofifa.net/players/208/574/22_120.png,https://cdn.sofifa.net/teams/1824/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/rs.png
123,208670,https://sofifa.com/player/208670/hakim-ziyech/220002,H. Ziyech,Hakim Ziyech,"RW, CAM",84,84,42500000.0,170000.0,28,1993-03-19,181,65,5.0,Chelsea,English Premier League,1.0,SUB,22.0,2025.0,Morocco,Left,2,5,3,High/High,Unique,Yes,78.0,76.0,87.0,83.0,50.0,65.0,88,73,52,86,74,83,90,78,89,85,79,77,85,84,78,83,35,79,58,77,73,52,82,89,67,79,44,56,40,11,7,11,8,14,,76+3,76+3,76+3,83,82,82,82,83,84,84,84,83+1,82+2,82+2,82+2,83+1,70+3,70+3,70+3,70+3,70+3,66+3,57+3,57+3,57+3,66+3,18+3,https://cdn.sofifa.net/players/208/670/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/ma.png
124,209889,https://sofifa.com/player/209889/raphael-guerreiro/220002,R. Guerreiro,Raphaël Adelino José Guerreiro,"LB, LM",84,84,40500000.0,79000.0,27,1993-12-22,170,71,22.0,Borussia Dortmund,German 1. Bundesliga,1.0,LB,13.0,2023.0,Portugal,Left,2,4,3,High/Low,Normal (170-),Yes,75.0,77.0,85.0,88.0,76.0,58.0,84,77,43,88,79,88,85,82,82,87,84,67,88,86,90,79,53,79,50,80,52,83,79,85,44,86,79,79,78,12,6,8,11,8,,76+3,76+3,76+3,83,82,82,82,83,84,84,84,83+1,84,84,84,83+1,82+2,80+3,80+3,80+3,82+2,80+3,71+3,71+3,71+3,80+3,18+3,https://cdn.sofifa.net/players/209/889/22_120.png,https://cdn.sofifa.net/teams/22/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/pt.png
125,210243,https://sofifa.com/player/210243/ricardo-barbosa-pereira/220002,Ricardo Pereira,Ricardo Domingos Barbosa Pereira,"RB, RM",84,84,40500000.0,130000.0,27,1993-10-06,175,70,95.0,Leicester City,English Premier League,1.0,RB,21.0,2023.0,Portugal,Right,4,3,3,High/High,Unique,Yes,83.0,67.0,78.0,82.0,80.0,75.0,82,66,67,82,59,81,78,52,77,83,82,83,79,83,82,74,75,84,69,64,79,79,77,76,61,81,80,84,83,16,12,15,11,11,,75+3,75+3,75+3,79,78,78,78,79,79+3,79+3,79+3,80+3,79+3,79+3,79+3,80+3,82+2,81+3,81+3,81+3,82+2,82+2,79+3,79+3,79+3,82+2,20+3,https://cdn.sofifa.net/players/210/243/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/pt.png
126,212188,https://sofifa.com/player/212188/timo-werner/220002,T. Werner,Timo Werner,"ST, LW",84,87,56500000.0,155000.0,25,1996-03-06,180,76,5.0,Chelsea,English Premier League,1.0,SUB,11.0,2025.0,Germany,Right,4,3,3,High/Medium,Unique,Yes,91.0,81.0,70.0,82.0,35.0,70.0,69,81,76,79,84,82,70,58,55,84,93,89,82,87,76,85,75,83,65,77,63,37,88,68,78,79,39,20,19,9,9,8,15,9,,83+3,83+3,83+3,82,83,83,83,82,80+3,80+3,80+3,80+3,72+3,72+3,72+3,80+3,61+3,57+3,57+3,57+3,61+3,58+3,50+3,50+3,50+3,58+3,19+3,https://cdn.sofifa.net/players/212/188/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/de.png
128,216352,https://sofifa.com/player/216352/marcelo-brozovic/220002,M. Brozović,Marcelo Brozović,"CDM, CM",84,84,37000000.0,130000.0,28,1992-11-16,181,68,44.0,Inter,Italian Serie A,1.0,CDM,77.0,2022.0,Croatia,Right,4,3,3,Medium/Medium,Lean (170-185),Yes,69.0,74.0,80.0,79.0,79.0,78.0,72,69,70,85,65,76,79,74,84,84,70,68,79,76,84,80,70,94,67,84,85,81,70,80,69,82,77,81,80,8,8,15,11,8,,74+3,74+3,74+3,76,76,76,76,76,79+3,79+3,79+3,77+3,82+2,82+2,82+2,77+3,80+3,82+2,82+2,82+2,80+3,79+3,78+3,78+3,78+3,79+3,16+3,https://cdn.sofifa.net/players/216/352/22_120.png,https://cdn.sofifa.net/teams/44/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/hr.png
129,216393,https://sofifa.com/player/216393/youri-tielemans/220002,Y. Tielemans,Youri Tielemans,"CM, CDM",84,87,57000000.0,125000.0,24,1997-05-07,176,72,95.0,Leicester City,English Premier League,1.0,RDM,8.0,2023.0,Belgium,Right,5,4,2,Medium/Medium,Normal (170-185),Yes,63.0,79.0,86.0,80.0,71.0,72.0,82,74,67,89,78,79,81,78,88,85,67,59,67,83,77,87,66,81,69,86,68,74,80,87,73,86,70,73,69,6,8,10,14,12,,77+2,77+2,77+2,79,80,80,80,79,82+2,82+2,82+2,80+2,84+2,84+2,84+2,80+2,77+2,79+2,79+2,79+2,77+2,75+2,72+2,72+2,72+2,75+2,18+2,https://cdn.sofifa.net/players/216/393/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/be.png
130,216460,https://sofifa.com/player/216460/jose-maria-gimenez/220002,J. Giménez,José María Giménez de Vargas,CB,84,88,52000000.0,74000.0,26,1995-01-20,185,79,240.0,Atlético de Madrid,Spain Primera Division,1.0,CB,2.0,2025.0,Uruguay,Right,3,2,2,Medium/High,Normal (185+),Yes,69.0,45.0,57.0,59.0,86.0,80.0,47,37,83,70,30,54,36,44,67,66,70,69,52,78,40,72,90,60,86,48,88,84,24,46,38,76,87,87,86,9,11,7,10,15,,58+2,58+2,58+2,55,56,56,56,55,56+2,56+2,56+2,57+2,62+2,62+2,62+2,57+2,72+2,76+2,76+2,76+2,72+2,75+2,84+2,84+2,84+2,75+2,18+2,https://cdn.sofifa.net/players/216/460/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/uy.png
131,216594,https://sofifa.com/player/216594/nabil-fekir/220002,N. Fekir,Nabil Fekir,"CAM, RM, ST",84,84,45000000.0,42000.0,27,1993-07-18,173,75,449.0,Real Betis Balompié,Spain Primera Division,1.0,CAM,8.0,2023.0,France,Left,4,4,3,High/Medium,Stocky (170-185),Yes,83.0,83.0,82.0,87.0,38.0,79.0,79,83,49,84,77,88,83,79,78,87,88,79,82,79,91,84,64,79,81,84,79,34,82,83,74,89,34,42,30,15,9,8,14,15,,80+3,80+3,80+3,84,83,83,83,84,84,84,84,83+1,78+3,78+3,78+3,83+1,64+3,63+3,63+3,63+3,64+3,59+3,53+3,53+3,53+3,59+3,20+3,https://cdn.sofifa.net/players/216/594/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/fr.png
132,222492,https://sofifa.com/player/222492/leroy-sane/220002,L. Sané,Leroy Aziz Sané,"RM, LM",84,87,56000000.0,105000.0,25,1996-01-11,183,80,21.0,FC Bayern München,German 1. Bundesliga,1.0,LM,10.0,2025.0,Germany,Left,2,4,3,Medium/Low,Unique,Yes,90.0,81.0,79.0,85.0,38.0,68.0,83,81,72,81,85,87,83,82,64,84,91,89,84,79,79,87,64,68,70,78,63,34,84,82,71,80,36,32,35,8,12,9,9,14,,82+3,82+3,82+3,84,83,83,83,84,82+3,82+3,82+3,82+3,74+3,74+3,74+3,82+3,63+3,59+3,59+3,59+3,63+3,60+3,52+3,52+3,52+3,60+3,18+3,https://cdn.sofifa.net/players/222/492/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/de.png
133,224232,https://sofifa.com/player/224232/nicolo-barella/220002,N. Barella,Nicolò Barella,CM,84,89,63500000.0,120000.0,24,1997-02-07,172,68,44.0,Inter,Italian Serie A,1.0,RCM,23.0,2024.0,Italy,Right,3,3,3,High/High,Normal (170-),Yes,78.0,71.0,79.0,86.0,75.0,78.0,69,69,53,86,75,83,75,67,79,87,80,76,91,89,90,69,78,95,69,72,79,84,83,83,73,85,74,75,79,11,5,13,14,11,,75+3,75+3,75+3,81,81,81,81,81,83+3,83+3,83+3,82+3,84+3,84+3,84+3,82+3,81+3,82+3,82+3,82+3,81+3,80+3,76+3,76+3,76+3,80+3,19+3,https://cdn.sofifa.net/players/224/232/22_120.png,https://cdn.sofifa.net/teams/44/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/it.png
134,224334,https://sofifa.com/player/224334/marcos-acuna/220002,M. Acuña,Marcos Javier Acuña,"LB, LM",84,84,37000000.0,45000.0,29,1991-10-28,172,69,481.0,Sevilla FC,Spain Primera Division,1.0,LB,19.0,2024.0,Argentina,Left,3,4,2,High/High,Stocky (170-185),No,76.0,74.0,82.0,87.0,79.0,82.0,87,66,58,82,68,87,88,75,78,88,77,76,83,83,90,82,63,90,80,81,84,79,81,82,76,87,80,84,82,8,14,13,13,14,,77+2,77+2,77+2,82,81,81,81,82,82+2,82+2,82+2,83+1,83+1,83+1,83+1,83+1,83+1,82+2,82+2,82+2,83+1,82+2,79+2,79+2,79+2,82+2,20+2,https://cdn.sofifa.net/players/224/334/22_120.png,https://cdn.sofifa.net/teams/481/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/ar.png
135,228941,https://sofifa.com/player/228941/andre-miguel-valente-da-silva/220002,André Silva,André Miguel Valente da Silva,ST,84,85,51000000.0,110000.0,25,1995-11-06,185,84,112172.0,RB Leipzig,German 1. Bundesliga,1.0,ST,33.0,2026.0,Portugal,Right,3,4,3,Medium/Medium,Normal (185+),Yes,74.0,84.0,69.0,83.0,45.0,77.0,60,87,86,79,84,84,76,33,63,85,77,71,77,86,75,83,88,79,76,78,75,59,87,74,90,84,36,40,21,14,13,7,11,8,,84+1,84+1,84+1,80,83,83,83,80,81+3,81+3,81+3,78+3,76+3,76+3,76+3,78+3,62+3,64+3,64+3,64+3,62+3,60+3,59+3,59+3,59+3,60+3,19+3,https://cdn.sofifa.net/players/228/941/22_120.png,https://cdn.sofifa.net/teams/112172/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/pt.png
136,230938,https://sofifa.com/player/230938/franck-yannick-kessie/220002,F. Kessié,Franck Yannick Kessié,"CDM, CM",84,86,49500000.0,51000.0,24,1996-12-19,183,88,47.0,AC Milan,Italian Serie A,1.0,LDM,79.0,2022.0,Côte d'Ivoire,Right,4,3,3,High/High,Normal (170-185),Yes,78.0,74.0,74.0,80.0,82.0,87.0,66,67,68,83,60,78,58,48,75,84,76,79,72,81,79,84,72,94,86,78,84,84,74,76,89,84,85,84,78,9,11,12,12,10,,76+3,76+3,76+3,77,78,78,78,77,78+3,78+3,78+3,78+3,80+3,80+3,80+3,78+3,81+3,83+3,83+3,83+3,81+3,81+3,81+3,81+3,81+3,81+3,18+3,https://cdn.sofifa.net/players/230/938/22_120.png,https://cdn.sofifa.net/teams/47/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/ci.png
137,232656,https://sofifa.com/player/232656/theo-hernandez/220002,T. Hernández,Theo Bernard François Hernández,LB,84,90,62500000.0,51000.0,23,1997-10-06,184,81,47.0,AC Milan,Italian Serie A,1.0,LB,19.0,2024.0,France,Left,3,3,3,High/Medium,Unique,Yes,93.0,71.0,76.0,81.0,77.0,82.0,84,68,74,78,66,83,69,64,68,79,92,94,78,84,75,80,68,90,79,72,82,78,80,74,50,80,74,79,80,12,10,7,7,7,,78+3,78+3,78+3,81,80,80,80,81,78+3,78+3,78+3,81+3,78+3,78+3,78+3,81+3,82+3,78+3,78+3,78+3,82+3,82+3,78+3,78+3,78+3,82+3,17+3,https://cdn.sofifa.net/players/232/656/22_120.png,https://cdn.sofifa.net/teams/47/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/fr.png
138,235790,https://sofifa.com/player/235790/kai-havertz/220002,K. Havertz,Kai Lukas Havertz,"CAM, CF, CM",84,92,94500000.0,130000.0,22,1999-06-11,188,82,5.0,Chelsea,English Premier League,1.0,SUB,29.0,2025.0,Germany,Left,4,4,3,Medium/Medium,Unique,Yes,82.0,78.0,79.0,84.0,45.0,66.0,72,81,78,84,80,86,84,53,78,85,77,86,78,83,75,74,75,77,69,77,42,38,82,81,73,84,39,46,38,6,8,11,10,12,,81+3,81+3,81+3,82,82,82,82,82,83+3,83+3,83+3,82+3,78+3,78+3,78+3,82+3,65+3,63+3,63+3,63+3,65+3,62+3,55+3,55+3,55+3,62+3,17+3,https://cdn.sofifa.net/players/235/790/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/de.png
139,237692,https://sofifa.com/player/237692/phil-foden/220002,P. Foden,Philip Foden,"CAM, LW, CM",84,92,94500000.0,125000.0,21,2000-05-28,171,69,10.0,Manchester City,English Premier League,1.0,SUB,47.0,2024.0,England,Left,3,4,3,High/Medium,Lean (170-185),Yes,84.0,78.0,80.0,87.0,56.0,57.0,75,79,47,84,59,86,73,59,78,88,86,82,90,83,91,82,49,79,44,77,64,59,82,84,64,82,58,59,47,8,15,6,10,13,,77+3,77+3,77+3,83,83,83,83,83,84+3,84+3,84+3,83+3,81+3,81+3,81+3,83+3,72+3,70+3,70+3,70+3,72+3,68+3,59+3,59+3,59+3,68+3,19+3,https://cdn.sofifa.net/players/237/692/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/gb-eng.png
140,135507,https://sofifa.com/player/135507/fernando-luiz-rosa/220002,Fernandinho,Fernando Luiz Rosa,"CDM, CB",83,83,7000000.0,100000.0,36,1985-05-04,179,67,10.0,Manchester City,English Premier League,1.0,SUB,25.0,2022.0,Brazil,Right,4,3,3,Medium/High,Lean (170-185),Yes,59.0,72.0,75.0,78.0,84.0,75.0,68,66,71,83,70,76,68,71,81,81,67,52,69,86,77,83,84,66,75,76,86,85,70,66,61,81,87,85,80,12,11,5,13,7,,74+3,74+3,74+3,73,74,74,74,73,75+3,75+3,75+3,73+3,78+3,78+3,78+3,73+3,77+3,82+1,82+1,82+1,77+3,77+3,82+1,82+1,82+1,77+3,19+3,https://cdn.sofifa.net/players/135/507/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/br.png
142,177413,https://sofifa.com/player/177413/axel-witsel/220002,A. Witsel,Axel Witsel,"CDM, CM",83,83,24000000.0,72000.0,32,1989-01-12,186,81,22.0,Borussia Dortmund,German 1. Bundesliga,1.0,SUB,28.0,2022.0,Belgium,Right,4,4,3,Medium/Medium,Unique,Yes,61.0,72.0,81.0,79.0,82.0,79.0,69,71,84,90,77,78,71,68,83,81,60,61,71,85,70,75,78,76,82,71,75,83,73,79,76,90,82,80,80,5,7,7,10,7,,76+3,76+3,76+3,75,77,77,77,75,78+3,78+3,78+3,76+3,81+2,81+2,81+2,76+3,78+3,82+1,82+1,82+1,78+3,78+3,81+2,81+2,81+2,78+3,16+3,https://cdn.sofifa.net/players/177/413/22_120.png,https://cdn.sofifa.net/teams/22/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/be.png
144,179645,https://sofifa.com/player/179645/simon-kjaer/220002,S. Kjær,Simon Thorup Kjær,CB,83,83,23500000.0,54000.0,32,1989-03-26,190,86,47.0,AC Milan,Italian Serie A,1.0,RCB,24.0,2022.0,Denmark,Right,3,2,3,Low/High,Normal (185+),Yes,67.0,55.0,64.0,59.0,85.0,78.0,50,55,81,76,37,50,52,69,72,70,63,71,57,79,53,78,81,65,82,41,82,85,31,55,61,69,87,85,81,6,10,13,10,15,,63+3,63+3,63+3,58,60,60,60,58,60+3,60+3,60+3,61+3,66+3,66+3,66+3,61+3,73+3,78+3,78+3,78+3,73+3,75+3,82+1,82+1,82+1,75+3,18+3,https://cdn.sofifa.net/players/179/645/22_120.png,https://cdn.sofifa.net/teams/47/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/dk.png
145,180930,https://sofifa.com/player/180930/edin-dzeko/220002,E. Džeko,Edin Džeko,ST,83,83,15500000.0,105000.0,35,1986-03-17,193,80,44.0,Inter,Italian Serie A,1.0,RS,9.0,2023.0,Bosnia and Herzegovina,Right,5,3,3,Medium/Medium,Lean (185+),Yes,66.0,83.0,72.0,78.0,45.0,76.0,63,85,83,77,77,78,65,54,78,86,64,67,62,80,55,86,64,74,86,78,58,50,90,74,67,86,54,28,16,9,11,13,15,15,,82+1,82+1,82+1,77,81,81,81,77,79+3,79+3,79+3,77+3,75+3,75+3,75+3,77+3,59+3,63+3,63+3,63+3,59+3,56+3,56+3,56+3,56+3,56+3,20+3,https://cdn.sofifa.net/players/180/930/22_120.png,https://cdn.sofifa.net/teams/44/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/ba.png
