,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_contract_valid_until,nationality_name,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_flag_url
821,231691,https://sofifa.com/player/231691/alban-lafont/220002,A. Lafont,Alban Lafont,GK,78,83,17500000.0,18000.0,22,1999-01-23,196,90,71.0,FC Nantes,French Ligue 1,1.0,GK,1.0,2024.0,France,Right,3,1,2,Medium/Medium,Lean (185+),No,,,,,,,13,6,13,54,9,14,13,12,38,10,48,45,60,69,53,52,73,40,70,9,20,17,4,47,16,59,20,14,12,80,76,69,74,82,47.0,26+2,26+2,26+2,27,27,27,27,27,31+2,31+2,31+2,29+2,33+2,33+2,33+2,29+2,28+2,32+2,32+2,32+2,28+2,27+2,28+2,28+2,28+2,27+2,77+2,https://cdn.sofifa.net/players/231/691/22_120.png,https://cdn.sofifa.net/teams/71/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/fr.png
843,241727,https://sofifa.com/player/241727/predrag-rajkovic/220002,P. Rajković,Predrag Rajković,GK,78,83,16500000.0,20000.0,25,1995-10-31,191,85,379.0,Stade de Reims,French Ligue 1,1.0,GK,1.0,2023.0,Serbia,Right,2,1,2,Medium/Medium,Normal (185+),No,,,,,,,13,9,13,26,8,8,14,10,25,18,30,18,32,73,29,56,35,26,66,10,25,10,4,42,20,32,11,10,10,77,76,74,79,81,25.0,24+2,24+2,24+2,21,23,23,23,21,24+2,24+2,24+2,22+2,25+2,25+2,25+2,22+2,21+2,24+2,24+2,24+2,21+2,20+2,22+2,22+2,22+2,20+2,77+2,https://cdn.sofifa.net/players/241/727/22_120.png,https://cdn.sofifa.net/teams/379/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/rs.png
865,146748,https://sofifa.com/player/146748/diego-lopez-rodriguez/220002,Diego López,Diego López Rodríguez,GK,77,77,1200000.0,9000.0,39,1981-11-03,196,89,452.0,RCD Espanyol de Barcelona,Spain Primera Division,1.0,GK,13.0,2022.0,Spain,Right,3,1,3,Medium/Medium,Lean (185+),Yes,,,,,,,11,12,10,28,14,11,10,11,23,25,45,43,44,73,40,53,66,40,73,11,40,16,11,55,21,65,16,13,14,73,76,71,79,75,44.0,29+3,29+3,29+3,27,29,29,29,27,30+3,30+3,30+3,29+3,30+3,30+3,30+3,29+3,26+3,29+3,29+3,29+3,26+3,26+3,28+3,28+3,28+3,26+3,75+2,https://cdn.sofifa.net/players/146/748/22_120.png,https://cdn.sofifa.net/teams/452/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/es.png
871,170597,https://sofifa.com/player/170597/tim-krul/220002,T. Krul,Tim Krul,GK,77,77,3400000.0,27000.0,33,1988-04-03,188,74,1792.0,Norwich City,English Premier League,1.0,GK,1.0,2024.0,Netherlands,Left,2,1,2,Medium/Medium,Lean (185+),Yes,,,,,,,13,11,19,32,16,13,13,15,29,25,43,35,48,72,42,53,72,36,63,14,36,19,8,52,42,52,14,17,14,77,75,71,77,79,40.0,28+2,28+2,28+2,27,29,29,29,27,30+2,30+2,30+2,28+2,31+2,31+2,31+2,28+2,27+2,30+2,30+2,30+2,27+2,26+2,29+2,29+2,29+2,26+2,76+1,https://cdn.sofifa.net/players/170/597/22_120.png,https://cdn.sofifa.net/teams/1792/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/nl.png
922,199005,https://sofifa.com/player/199005/mathew-ryan/220002,M. Ryan,Mathew David Ryan,GK,77,79,8500000.0,25000.0,29,1992-04-08,184,82,457.0,Real Sociedad,Spain Primera Division,1.0,SUB,13.0,2023.0,Australia,Right,4,1,1,Medium/Medium,Normal (170-185),Yes,,,,,,,23,11,14,40,15,13,23,12,45,24,53,52,53,71,50,62,78,34,65,18,36,23,10,68,25,64,10,20,17,77,75,82,76,79,53.0,31+2,31+2,31+2,31,33,33,33,31,36+2,36+2,36+2,34+2,37+2,37+2,37+2,34+2,30+2,34+2,34+2,34+2,30+2,30+2,30+2,30+2,30+2,30+2,76+2,https://cdn.sofifa.net/players/199/005/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/au.png
925,199641,https://sofifa.com/player/199641/matz-sels/220002,M. Sels,Matz Sels,GK,77,79,8500000.0,20000.0,29,1992-02-26,190,88,76.0,RC Strasbourg Alsace,French Ligue 1,1.0,GK,1.0,2024.0,Belgium,Right,2,1,2,Medium/Medium,Normal (185+),No,,,,,,,16,16,14,38,19,19,17,17,32,33,37,35,36,74,34,56,70,26,67,18,29,17,18,49,22,62,14,15,14,76,75,75,76,76,36.0,32+2,32+2,32+2,30,33,33,33,30,34+2,34+2,34+2,32+2,34+2,34+2,34+2,32+2,27+2,31+2,31+2,31+2,27+2,26+2,28+2,28+2,28+2,26+2,76+2,https://cdn.sofifa.net/players/199/641/22_120.png,https://cdn.sofifa.net/teams/76/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/be.png
927,200110,https://sofifa.com/player/200110/marco-bizot/220002,M. Bizot,Marco Bizot,GK,77,78,8000000.0,16000.0,30,1991-03-10,193,83,378.0,Stade Brestois 29,French Ligue 1,1.0,GK,40.0,2024.0,Netherlands,Right,2,1,2,Medium/Medium,Normal (185+),No,,,,,,,20,15,16,28,13,12,20,15,33,32,45,47,50,79,40,52,67,32,64,14,39,17,13,47,36,47,11,12,14,80,74,69,75,77,46.0,31+2,31+2,31+2,30,31,31,31,30,32+2,32+2,32+2,31+2,32+2,32+2,32+2,31+2,28+2,30+2,30+2,30+2,28+2,27+2,28+2,28+2,28+2,27+2,76+2,https://cdn.sofifa.net/players/200/110/22_120.png,https://cdn.sofifa.net/teams/378/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/nl.png
931,201325,https://sofifa.com/player/201325/ciprian-tatarusanu/220002,C. Tătărușanu,Anton Ciprian Tătărușanu,GK,77,77,1200000.0,18000.0,35,1986-02-09,198,90,47.0,AC Milan,Italian Serie A,1.0,SUB,1.0,2023.0,Romania,Right,3,1,2,Medium/Medium,Lean (185+),No,,,,,,,13,15,15,36,11,16,11,11,36,19,46,43,51,74,38,56,65,42,73,12,33,26,13,47,16,44,12,15,12,77,74,74,78,78,45.0,30+2,30+2,30+2,28,30,30,30,28,31+2,31+2,31+2,30+2,33+2,33+2,33+2,30+2,28+2,32+2,32+2,32+2,28+2,28+2,29+2,29+2,29+2,28+2,76+1,https://cdn.sofifa.net/players/201/325/22_120.png,https://cdn.sofifa.net/teams/47/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/ro.png
939,202789,https://sofifa.com/player/202789/alexander-schwolow/220002,A. Schwolow,Alexander Schwolow,GK,77,79,8500000.0,34000.0,29,1992-06-02,190,84,166.0,Hertha BSC,German 1. Bundesliga,1.0,GK,1.0,2024.0,Germany,Right,3,1,2,Medium/Medium,Normal (185+),Yes,,,,,,,9,12,12,26,11,15,13,16,23,23,36,39,40,79,42,50,72,31,67,15,26,13,10,36,22,34,16,17,9,76,75,66,76,80,37.0,28+2,28+2,28+2,25,28,28,28,25,27+2,27+2,27+2,26+2,27+2,27+2,27+2,26+2,24+2,27+2,27+2,27+2,24+2,24+2,27+2,27+2,27+2,24+2,76+2,https://cdn.sofifa.net/players/202/789/22_120.png,https://cdn.sofifa.net/teams/166/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/de.png
949,206652,https://sofifa.com/player/206652/sergio-rico-gonzalez/220002,Sergio Rico,Sergio Rico González,GK,77,79,9500000.0,49000.0,27,1993-09-01,196,90,73.0,Paris Saint-Germain,French Ligue 1,1.0,RES,16.0,2024.0,Spain,Right,3,1,2,Medium/Medium,Normal (185+),Yes,,,,,,,17,14,11,28,15,15,24,20,26,13,48,46,51,72,43,58,63,36,53,12,25,17,11,53,24,55,16,13,11,77,74,77,74,80,47.0,28+2,28+2,28+2,27,29,29,29,27,29+2,29+2,29+2,28+2,29+2,29+2,29+2,28+2,26+2,26+2,26+2,26+2,26+2,25+2,24+2,24+2,24+2,25+2,76+2,https://cdn.sofifa.net/players/206/652/22_120.png,https://cdn.sofifa.net/teams/73/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/es.png
983,215502,https://sofifa.com/player/215502/bartlomiej-dragowski/220002,B. Drągowski,Bartłomiej Drągowski,GK,77,81,12000000.0,30000.0,23,1997-08-19,188,74,110374.0,Fiorentina,Italian Serie A,1.0,GK,69.0,2023.0,Poland,Right,2,1,1,Medium/Medium,Normal (185+),No,,,,,,,19,12,13,35,12,20,12,20,32,18,46,42,33,72,54,53,57,34,56,18,19,21,15,62,21,65,20,16,16,79,73,70,77,80,44.0,29+2,29+2,29+2,29,31,31,31,29,33+2,33+2,33+2,31+2,34+2,34+2,34+2,31+2,29+2,30+2,30+2,30+2,29+2,28+2,27+2,27+2,27+2,28+2,76+2,https://cdn.sofifa.net/players/215/502/22_120.png,https://cdn.sofifa.net/teams/110374/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/pl.png
992,219522,https://sofifa.com/player/219522/jeremias-conan-ledesma/220002,J. Ledesma,Jeremías Conan Ledesma,GK,77,80,9500000.0,24000.0,28,1993-02-13,186,83,1968.0,Cádiz CF,Spain Primera Division,1.0,GK,1.0,2025.0,Argentina,Right,2,1,1,Medium/Medium,Stocky (185+),No,,,,,,,16,14,15,33,17,16,18,15,26,12,49,42,40,72,50,50,67,40,63,20,23,20,13,36,23,41,13,13,12,78,77,67,74,80,46.0,29+2,29+2,29+2,26,28,28,28,26,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,27+2,27+2,27+2,27+2,27+2,26+2,26+2,26+2,26+2,26+2,76+2,https://cdn.sofifa.net/players/219/522/22_120.png,https://cdn.sofifa.net/teams/1968/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/ar.png
1007,223550,https://sofifa.com/player/223550/jonas-omlin/220002,J. Omlin,Jonas Omlin,GK,77,81,11000000.0,20000.0,27,1994-01-10,189,80,70.0,Montpellier Hérault SC,French Ligue 1,1.0,GK,1.0,2024.0,Switzerland,Right,4,1,1,Medium/Medium,Normal (185+),No,,,,,,,24,17,24,45,15,27,21,16,35,31,49,51,32,74,51,55,75,35,72,18,22,25,15,48,27,55,20,21,24,77,75,73,75,79,50.0,35+2,35+2,35+2,34,36,36,36,34,37+2,37+2,37+2,36+2,37+2,37+2,37+2,36+2,34+2,35+2,35+2,35+2,34+2,33+2,34+2,34+2,34+2,33+2,76+2,https://cdn.sofifa.net/players/223/550/22_120.png,https://cdn.sofifa.net/teams/70/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/ch.png
1009,223898,https://sofifa.com/player/223898/paul-bernardoni/220002,P. Bernardoni,Paul Jean François Bernardoni,GK,77,82,13000000.0,15000.0,24,1997-04-18,190,78,1530.0,Angers SCO,French Ligue 1,1.0,GK,1.0,2024.0,France,Left,2,1,2,Medium/Medium,Normal (185+),No,,,,,,,12,13,21,28,17,16,15,18,24,25,31,27,21,67,34,55,70,36,68,16,29,25,15,21,19,55,16,12,18,78,74,73,77,82,29.0,29+2,29+2,29+2,23,26,26,26,23,25+2,25+2,25+2,25+2,26+2,26+2,26+2,25+2,26+2,28+2,28+2,28+2,26+2,25+2,29+2,29+2,29+2,25+2,76+2,https://cdn.sofifa.net/players/223/898/22_120.png,https://cdn.sofifa.net/teams/1530/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/fr.png
1075,234777,https://sofifa.com/player/234777/zack-steffen/220002,Z. Steffen,Zack Thomas Steffen,GK,77,82,12000000.0,73000.0,26,1995-04-02,191,86,10.0,Manchester City,English Premier League,1.0,SUB,13.0,2022.0,United States,Right,3,1,1,Medium/Medium,Stocky (185+),Yes,,,,,,,14,9,13,52,8,15,13,11,52,31,54,52,58,72,49,56,71,39,69,12,31,19,9,58,37,56,13,12,12,78,73,74,72,83,53.0,31+2,31+2,31+2,32,34,34,34,32,38+2,38+2,38+2,35+2,39+2,39+2,39+2,35+2,30+2,35+2,35+2,35+2,30+2,29+2,29+2,29+2,29+2,29+2,76+2,https://cdn.sofifa.net/players/234/777/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/us.png
1076,234833,https://sofifa.com/player/234833/florian-muller/220002,F. Müller,Florian Müller,GK,77,82,13000000.0,18000.0,23,1997-11-13,190,88,36.0,VfB Stuttgart,German 1. Bundesliga,1.0,GK,1.0,2025.0,Germany,Left,4,1,1,Medium/Medium,Normal (185+),Yes,,,,,,,12,11,11,32,10,18,13,12,28,24,43,43,42,75,41,54,58,34,67,12,25,19,11,42,19,38,20,11,12,76,74,72,73,81,43.0,29+2,29+2,29+2,27,29,29,29,27,30+2,30+2,30+2,29+2,30+2,30+2,30+2,29+2,27+2,29+2,29+2,29+2,27+2,26+2,27+2,27+2,27+2,26+2,76+2,https://cdn.sofifa.net/players/234/833/22_120.png,https://cdn.sofifa.net/teams/36/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/de.png
1111,242656,https://sofifa.com/player/242656/illan-meslier/220002,I. Meslier,Illan Meslier,GK,77,85,20500000.0,34000.0,21,2000-03-02,196,74,8.0,Leeds United,English Premier League,1.0,GK,1.0,2026.0,France,Left,2,1,1,Medium/Medium,Lean (185+),Yes,,,,,,,18,11,15,40,9,20,12,10,37,35,35,37,42,72,25,55,42,40,53,17,27,19,8,62,11,67,22,17,19,79,76,73,73,81,36.0,29+2,29+2,29+2,31,33,33,33,31,36+2,36+2,36+2,33+2,37+2,37+2,37+2,33+2,30+2,34+2,34+2,34+2,30+2,29+2,28+2,28+2,28+2,29+2,76+2,https://cdn.sofifa.net/players/242/656/22_120.png,https://cdn.sofifa.net/teams/8/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/fr.png
1137,104389,https://sofifa.com/player/104389/rune-almenning-jarstein/220002,R. Jarstein,Rune Almenning Jarstein,GK,76,76,825000.0,19000.0,36,1984-09-29,190,86,166.0,Hertha BSC,German 1. Bundesliga,1.0,SUB,22.0,2023.0,Norway,Right,4,1,2,Medium/Medium,Normal (185+),Yes,,,,,,,18,13,16,29,16,17,10,14,31,25,40,40,34,70,45,53,59,30,70,18,34,19,15,49,13,50,12,11,13,74,71,70,80,78,40.0,30+2,30+2,30+2,28,30,30,30,28,31+2,31+2,31+2,29+2,31+2,31+2,31+2,29+2,26+2,29+2,29+2,29+2,26+2,25+2,27+2,27+2,27+2,25+2,75+1,https://cdn.sofifa.net/players/104/389/22_120.png,https://cdn.sofifa.net/teams/166/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/no.png
1149,163264,https://sofifa.com/player/163264/tom-heaton/220002,T. Heaton,Tom Heaton,GK,76,76,825000.0,42000.0,35,1986-04-15,188,85,11.0,Manchester United,English Premier League,1.0,RES,22.0,2023.0,England,Right,3,1,2,Medium/Medium,Normal (185+),Yes,,,,,,,17,12,16,32,12,17,15,13,37,28,56,55,54,71,52,56,73,40,66,12,31,24,12,46,24,62,16,15,13,74,75,74,78,75,56.0,31+2,31+2,31+2,30,32,32,32,30,32+2,32+2,32+2,32+2,33+2,33+2,33+2,32+2,30+2,32+2,32+2,32+2,30+2,30+2,29+2,29+2,29+2,30+2,75+1,https://cdn.sofifa.net/players/163/264/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/gb-eng.png
1160,172723,https://sofifa.com/player/172723/asmir-begovic/220002,A. Begović,Asmir Begović,GK,76,76,1300000.0,49000.0,34,1987-06-20,199,101,7.0,Everton,English Premier League,1.0,SUB,15.0,2022.0,Bosnia and Herzegovina,Right,2,1,3,Medium/Medium,Lean (185+),Yes,,,,,,,14,19,12,26,12,16,17,15,32,24,47,48,46,70,40,55,38,36,79,12,42,21,11,34,40,58,18,11,12,76,77,73,74,76,47.0,31+3,31+3,31+3,27,29,29,29,27,28+3,28+3,28+3,29+3,28+3,28+3,28+3,29+3,27+3,29+3,29+3,29+3,27+3,26+3,28+3,28+3,28+3,26+3,75+1,https://cdn.sofifa.net/players/172/723/22_120.png,https://cdn.sofifa.net/teams/7/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/ba.png
1192,192665,https://sofifa.com/player/192665/andreas-luthe/220002,A. Luthe,Andreas Luthe,GK,76,76,1300000.0,22000.0,34,1987-03-10,195,85,1831.0,1. FC Union Berlin,German 1. Bundesliga,1.0,GK,1.0,2024.0,Germany,Right,3,1,1,Medium/Medium,Normal (185+),No,,,,,,,14,12,15,24,12,12,15,12,19,14,35,43,39,73,34,46,61,36,74,16,22,21,12,49,21,23,16,14,12,77,70,61,78,77,38.0,27+2,27+2,27+2,24,26,26,26,24,27+2,27+2,27+2,26+2,27+2,27+2,27+2,26+2,25+2,27+2,27+2,27+2,25+2,25+2,27+2,27+2,27+2,25+2,75+1,https://cdn.sofifa.net/players/192/665/22_120.png,https://cdn.sofifa.net/teams/1831/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/de.png
1194,193331,https://sofifa.com/player/193331/karl-darlow/220002,K. Darlow,Karl Darlow,GK,76,77,5500000.0,28000.0,30,1990-10-08,190,88,13.0,Newcastle United,English Premier League,1.0,SUB,26.0,2025.0,England,Right,2,1,1,Medium/Medium,Normal (185+),Yes,,,,,,,12,14,12,36,15,14,19,16,30,31,60,54,64,68,64,51,69,44,60,11,13,26,18,37,19,53,17,11,12,77,73,68,75,78,58.0,31+2,31+2,31+2,31,32,32,32,31,32+2,32+2,32+2,32+2,32+2,32+2,32+2,32+2,30+2,30+2,30+2,30+2,30+2,29+2,27+2,27+2,27+2,29+2,75+2,https://cdn.sofifa.net/players/193/331/22_120.png,https://cdn.sofifa.net/teams/13/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/gb-eng.png
1200,195668,https://sofifa.com/player/195668/joel-robles-blazquez/220002,Joel Robles,Joel Robles Blázquez,GK,76,76,4000000.0,17000.0,31,1990-06-17,195,90,449.0,Real Betis Balompié,Spain Primera Division,1.0,RES,1.0,2022.0,Spain,Right,2,1,1,Medium/Medium,Normal (185+),Yes,,,,,,,12,11,12,15,13,18,11,20,26,25,50,56,50,70,39,55,59,25,72,11,23,22,13,41,15,54,11,11,14,77,74,73,74,78,52.0,29+2,29+2,29+2,27,29,29,29,27,28+2,28+2,28+2,28+2,26+2,26+2,26+2,28+2,25+2,25+2,25+2,25+2,25+2,25+2,26+2,26+2,26+2,25+2,75+1,https://cdn.sofifa.net/players/195/668/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/es.png
1213,200316,https://sofifa.com/player/200316/timo-horn/220002,T. Horn,Timo Horn,GK,76,78,6500000.0,21000.0,28,1993-05-12,192,90,31.0,1. FC Köln,German 1. Bundesliga,1.0,GK,1.0,2023.0,Germany,Left,2,1,2,Medium/Medium,Normal (185+),Yes,,,,,,,19,13,14,30,14,20,12,15,29,22,45,51,50,79,31,45,64,31,67,17,41,22,15,45,21,25,14,13,12,77,77,60,70,78,47.0,30+2,30+2,30+2,30,31,31,31,30,32+2,32+2,32+2,31+2,31+2,31+2,31+2,31+2,28+2,30+2,30+2,30+2,28+2,27+2,28+2,28+2,28+2,27+2,75+2,https://cdn.sofifa.net/players/200/316/22_120.png,https://cdn.sofifa.net/teams/31/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/flags/de.png
1223,201976,https://sofifa.com/player/201976/alfred-gomis/220002,A. Gomis,Alfred Benjamin Gomis,GK,76,78,7000000.0,30000.0,27,1993-09-05,196,80,74.0,Stade Rennais FC,French Ligue 1,1.0,GK,16.0,2025.0,Senegal,Right,3,1,1,Medium/Medium,Lean (185+),No,,,,,,,15,16,11,34,11,15,12,12,35,24,43,41,60,73,54,53,76,33,57,15,16,21,16,61,23,57,18,14,10,76,76,70,75,76,42.0,30+2,30+2,30+2,30,32,32,32,30,34+2,34+2,34+2,31+2,34+2,34+2,34+2,31+2,27+2,30+2,30+2,30+2,27+2,26+2,26+2,26+2,26+2,26+2,75+2,https://cdn.sofifa.net/players/201/976/22_120.png,https://cdn.sofifa.net/teams/74/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/sn.png
1309,216065,https://sofifa.com/player/216065/marco-sportiello/220002,M. Sportiello,Marco Sportiello,GK,76,76,5000000.0,33000.0,29,1992-05-10,192,87,39.0,Atalanta,Italian Serie A,1.0,SUB,57.0,2022.0,Italy,Right,2,1,2,Medium/Medium,Normal (185+),No,,,,,,,13,18,18,32,12,19,14,21,19,22,48,38,55,74,58,51,68,37,66,17,23,29,18,44,21,65,26,17,13,76,74,68,76,78,44.0,31+2,31+2,31+2,29,31,31,31,29,31+2,31+2,31+2,30+2,31+2,31+2,31+2,30+2,29+2,31+2,31+2,31+2,29+2,29+2,31+2,31+2,31+2,29+2,75+1,https://cdn.sofifa.net/players/216/065/22_120.png,https://cdn.sofifa.net/teams/39/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/flags/it.png
1361,228789,https://sofifa.com/player/228789/robert-lynch-sanchez/220002,Robert Sanchéz,Robert Lynch Sanchéz,GK,76,82,9500000.0,31000.0,23,1997-11-18,197,85,1808.0,Brighton & Hove Albion,English Premier League,1.0,GK,1.0,2025.0,Spain,Right,4,1,1,Medium/Medium,Normal (185+),No,,,,,,,12,14,15,46,15,15,12,14,50,37,45,44,31,71,35,52,70,40,66,16,27,8,7,56,15,55,18,13,15,76,73,69,75,78,45.0,31+2,31+2,31+2,31,33,33,33,31,36+2,36+2,36+2,34+2,38+2,38+2,38+2,34+2,29+2,34+2,34+2,34+2,29+2,28+2,28+2,28+2,28+2,28+2,75+2,https://cdn.sofifa.net/players/228/789/22_120.png,https://cdn.sofifa.net/teams/1808/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/es.png
1381,230727,https://sofifa.com/player/230727/gautier-larsonneur/220002,G. Larsonneur,Gautier Larsonneur,GK,76,79,8000000.0,12000.0,24,1997-02-23,181,70,378.0,Stade Brestois 29,French Ligue 1,1.0,SUB,1.0,2023.0,France,Right,2,1,2,Medium/Medium,Lean (170-185),No,,,,,,,18,19,14,32,20,22,15,11,30,24,51,53,60,71,65,54,70,38,59,12,25,17,17,25,21,52,15,20,12,76,75,72,75,79,52.0,32+2,32+2,32+2,30,31,31,31,30,30+2,30+2,30+2,31+2,29+2,29+2,29+2,31+2,29+2,28+2,28+2,28+2,29+2,28+2,27+2,27+2,27+2,28+2,75+2,https://cdn.sofifa.net/players/230/727/22_120.png,https://cdn.sofifa.net/teams/378/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/fr.png
1440,244316,https://sofifa.com/player/244316/luis-manuel-arantes-maximiano/220002,Luís Maximiano,Luís Manuel Arantes Maximiano,GK,76,83,13000000.0,14000.0,22,1999-01-05,190,82,110832.0,Granada CF,Spain Primera Division,1.0,SUB,1.0,2025.0,Portugal,Right,2,1,1,Medium/Medium,Normal (185+),No,,,,,,,10,5,8,44,8,16,9,9,38,21,55,55,58,76,33,49,63,23,68,4,12,9,6,55,13,56,21,15,13,77,74,65,74,78,55.0,28+2,28+2,28+2,29,30,30,30,29,33+2,33+2,33+2,31+2,33+2,33+2,33+2,31+2,27+2,30+2,30+2,30+2,27+2,27+2,26+2,26+2,26+2,27+2,75+2,https://cdn.sofifa.net/players/244/316/22_120.png,https://cdn.sofifa.net/teams/110832/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/flags/pt.png
1473,153275,https://sofifa.com/player/153275/jean-louis-leca/220002,J. Leca,Jean-Louis Leca,GK,75,75,625000.0,13000.0,35,1985-09-21,180,75,64.0,Racing Club de Lens,French Ligue 1,1.0,GK,16.0,2022.0,France,Right,3,1,2,Medium/Medium,Stocky (170-185),No,,,,,,,12,11,13,33,11,13,13,12,37,25,50,41,44,75,45,57,65,24,69,13,45,22,11,27,14,61,18,14,15,75,72,76,73,77,46.0,30+2,30+2,30+2,26,28,28,28,26,28+2,28+2,28+2,28+2,29+2,29+2,29+2,28+2,27+2,31+2,31+2,31+2,27+2,27+2,30+2,30+2,30+2,27+2,74+1,https://cdn.sofifa.net/players/153/275/22_120.png,https://cdn.sofifa.net/teams/64/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/flags/fr.png
1485,169697,https://sofifa.com/player/169697/darren-randolph/220002,D. Randolph,Darren Randolph,GK,75,75,950000.0,40000.0,34,1987-05-12,188,78,19.0,West Ham United,English Premier League,1.0,RES,35.0,2023.0,Republic of Ireland,Right,3,1,1,Medium/Medium,Normal (185+),Yes,,,,,,,11,14,16,33,16,14,15,14,34,33,41,44,50,73,43,50,61,34,57,14,29,18,11,35,30,36,15,14,14,77,72,67,73,76,42.0,30+2,30+2,30+2,28,30,30,30,28,31+2,31+2,31+2,29+2,31+2,31+2,31+2,29+2,27+2,30+2,30+2,30+2,27+2,27+2,27+2,27+2,27+2,27+2,74+1,https://cdn.sofifa.net/players/169/697/22_120.png,https://cdn.sofifa.net/teams/19/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/ie.png
1490,172203,https://sofifa.com/player/172203/fraser-forster/220002,F. Forster,Fraser Forster,GK,75,75,1800000.0,34000.0,33,1988-03-17,201,93,17.0,Southampton,English Premier League,1.0,SUB,44.0,2022.0,England,Right,5,1,2,Medium/Medium,Normal (185+),Yes,,,,,,,19,13,13,27,19,20,10,19,19,33,26,35,44,70,42,48,69,29,80,12,44,22,13,48,22,54,11,13,12,75,71,64,74,79,30.0,29+2,29+2,29+2,28,30,30,30,28,30+2,30+2,30+2,29+2,30+2,30+2,30+2,29+2,26+2,29+2,29+2,29+2,26+2,25+2,29+2,29+2,29+2,25+2,74+1,https://cdn.sofifa.net/players/172/203/22_120.png,https://cdn.sofifa.net/teams/17/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/flags/gb-eng.png
